,index,season,seasonNumber,series,episode,challengeType,outcomeType,guestJudge,competedOnTC,otherShows
128,128,Canada 6,6,Canada,3,Quickfire,Individual,Peter Meehan,,
129,129,Canada 6,6,Canada,3,Elimination,Individual,Carlos Gaytan,Yes,
130,130,Canada 6,6,Canada,4,Quickfire,Individual,Mark McEwan,,
131,131,Canada 6,6,Canada,4,Quickfire,Individual,Rob Gentile,,
132,132,Canada 6,6,Canada,4,Elimination,Team,Ruth Reichl,,Top Chef Masters Season 3 Judge
133,133,Canada 6,6,Canada,5,Quickfire,Individual,Brandon Olsen,,
134,134,Canada 6,6,Canada,5,Elimination,Team,Alexandra Feswick,,
135,135,Canada 6,6,Canada,6,Quickfire,Individual,Nicole Gomes,Top Chef Season 20,Top Chef Canada
136,136,Canada 6,6,Canada,6,Elimination,Individual,Evan Funke,,
137,137,Canada 6,6,Canada,7,Quickfire,Individual,Amanda Cohen,,
138,138,Canada 6,6,Canada,7,Elimination,Individual,Dustin Gallagher,,
139,139,Charleston,14,US,1,Sudden Death Quickfire,Individual,Graham Elliot,,"Top Chef Masters Season 1 and 2, Tournament of Champions, MasterChef"
140,140,Charleston,14,US,1,Sudden Death Quickfire,Individual,Graham Elliott,,"Top Chef Masters Season 1 and 2, Tournament of Champions, MasterChef"
141,141,Charleston,14,US,2,Elimination,Team,Frank Lee,,
142,142,Charleston,14,US,3,Quickfire,Team,Chris Cosentino,,Top Chef Masters Season 4
143,143,Charleston,14,US,3,Elimination,Team,Chris Cosentino,,Top Chef Masters Season 4
144,144,Charleston,14,US,4,Quickfire,Individual,Nilou Motamed,,
145,145,Charleston,14,US,4,Elimination,Team,Mike Lata,,
146,146,Charleston,14,US,5,Quickfire,Individual,John Currence,,Top Chef Masters Season 3
147,147,Charleston,14,US,5,Elimination,Team,Rodney Scott,,
148,148,Charleston,14,US,6,Quickfire,Individual,Dr. Vivek Murthy,,
149,149,Charleston,14,US,6,Elimination,Individual,Alexander Smalls,,
150,150,Charleston,14,US,7,Sudden Death Quickfire,Individual,Michael Cimarusti,,Top Chef Masters Season 1
151,151,Charleston,14,US,7,Elimination,Team,Graham Elliot,,"Top Chef Masters Season 1 and 2, Tournament of Champions, MasterChef"
152,152,Charleston,14,US,7,Elimination,Team,Michael Cimarusti,,Top Chef Masters Season 1
153,153,Charleston,14,US,8,Elimination,Team,Daniel Humm,,
154,154,Charleston,14,US,8,Elimination,Team,Will Guidara,,
155,155,Charleston,14,US,9,Quickfire,Individual,Michael Voltaggio,Yes,"Tournament of Champions, Battle of the Brothers"
156,156,Charleston,14,US,9,Elimination,Individual,Graham Elliot,,"Top Chef Masters Season 1 and 2, Tournament of Champions, MasterChef"
157,157,Charleston,14,US,9,Elimination,Individual,Michael Voltaggio,Yes,"Tournament of Champions, Battle of the Brothers"
158,158,Charleston,14,US,10,Sudden Death Quickfire,Individual,Tom Colicchio,,Top Chef Judge
159,159,Charleston,14,US,10,Elimination,Individual,Dominique Ansel,,
160,160,Charleston,14,US,11,Quickfire,Individual,Michael Solomonov,,
161,161,Charleston,14,US,11,Elimination,Individual,Sean Brock,,
162,162,Charleston,14,US,12,Quickfire,Individual,Francisco Ruano,,
163,163,Charleston,14,US,12,Elimination,Individual,Ray Garcia,,
164,164,Charleston,14,US,13,Quickfire,Individual,Ricardo Munoz Zurita,,
165,165,Charleston,14,US,13,Elimination,Individual,Graham Elliot,,"Top Chef Masters Season 1 and 2, Tournament of Champions, MasterChef"
166,166,Charleston,14,US,13,Elimination,Individual,Jeremiah Tower,,
167,167,Charleston,14,US,14,Elimination,Individual,Graham Elliott,,"Top Chef Masters Season 1 and 2, Tournament of Champions, MasterChef"
168,168,Charleston ,14,US,14,Elimination,Individual,Graham Elliot,,"Top Chef Masters Season 1 and 2, Tournament of Champions, MasterChef"
169,169,Chicago,4,US,1,Quickfire,Individual,Rocco DiSpirito,,Tournament of Champions Judge & Contestant
170,170,Chicago,4,US,1,Elimination,Individual,Anthony Bourdain,,Parts Unknown; No Reservations
171,171,Chicago,4,US,2,Quickfire,Individual,Wylie Dufresne,,Top Chef Masters Season 1 and 2
172,172,Chicago,4,US,2,Elimination,Team,Wylie Dufresne,,Top Chef Masters Season 1 and 2
173,173,Chicago,4,US,3,Quickfire,Individual,Rick Bayless,,Top Chef Masters Winner (Season 1)
174,174,Chicago,4,US,3,Elimination,Team,Rick Bayless,,Top Chef Masters Winner (Season 1)
175,175,Chicago,4,US,4,Quickfire,Individual,Daniel Boulud,,
176,176,Chicago,4,US,4,Elimination,Team,Daniel Boulud,,
177,177,Chicago,4,US,5,Quickfire,Individual,Ming Tsai,,Tournament of Champions Judge
178,178,Chicago,4,US,5,Elimination,Team,Ming Tsai,,Tournament of Champions Judge
179,179,Chicago,4,US,6,Quickfire,Individual,Koren Grieveson,,
180,180,Chicago,4,US,6,Elimination,Team,Paul Kahan,,
181,181,Chicago,4,US,7,Elimination,Team,Johnny Iuzzini,,
182,182,Chicago,4,US,8,Quickfire,Individual,Art Smith,,Top Chef Masters Seasons 1 and 4
183,183,Chicago,4,US,8,Elimination,Individual,Art Smith,,Top Chef Masters Seasons 1 and 4
184,184,Chicago,4,US,9,Quickfire,Team,Gale Gand,,
185,185,Chicago,4,US,9,Elimination,Team,Gale Gand,,
186,186,Chicago,4,US,10,Quickfire,Individual,Sam Talbot,Yes,
187,187,Chicago,4,US,10,Elimination,Individual,Sam Talbot,Yes,
188,188,Chicago,4,US,11,Quickfire,Individual,Haleen Thanas,,
189,189,Chicago,4,US,11,Elimination,Team,Anthony Bourdain,,Parts Unknown; No Reservations
190,190,Chicago,4,US,11,Elimination,Team,Jose Andres,,
191,191,Chicago,4,US,12,Quickfire,Individual,Rick Tramonto,,Top Chef Masters Season 2
192,192,Chicago,4,US,12,Elimination,Individual,Harold Dieterle,Yes,
193,193,Chicago,4,US,12,Elimination,Individual,Hung Huynh,Yes,
194,194,Chicago,4,US,12,Elimination,Individual,Ilan Hall,Yes,
195,195,Chicago,4,US,12,Elimination,Individual,Rick Tramonto,,Top Chef Masters Season 2
196,196,Chicago,4,US,13,Quickfire,Individual,Wilo Benet,,Top Chef Masters Season 1
197,197,Chicago,4,US,13,Elimination,Individual,Wilo Benet,,Top Chef Masters Season 1
198,198,Chicago,4,US,14,Elimination,Individual,Alfredo Ayala,,
199,199,Chicago,4,US,14,Elimination,Individual,April Bloomfield,,
200,200,Chicago,4,US,14,Elimination,Individual,Dan Barber,,
201,201,Chicago,4,US,14,Elimination,Individual,Eric Ripert,,Yes?
202,202,Chicago,4,US,14,Elimination,Individual,Ted Allen,,Chopped Host
203,203,Chicago,4,US,14,Elimination,Individual,Tim Zagat,,
204,204,D.C.,7,US,1,Elimination,Individual,Eric Ripert,,Yes?
205,205,D.C.,7,US,2,Quickfire,Team,Sam Kass,,
206,206,D.C.,7,US,2,Elimination,Team,Sam Kass,,
